node_id,lat,lon
290328870, 46.5092396, 6.6647535
595258062, 46.5192401, 6.6243655
598564433, 46.5238749, 6.6306379
4212883646, 46.5252111, 6.6522024
575127534, 46.537389, 6.620844
476034374, 46.5961055, 6.5583071
765119049, 46.5246224, 6.6329211
4306421994, 46.5055458, 6.6875753
1033316482, 46.5948881, 6.5641553
1043920470, 46.5396346, 6.6981498
649303073, 46.523674, 6.5643048
570300704, 46.5171779, 6.6304529
561595559, 46.5132112, 6.6358231
568000966, 46.5247533, 6.6164349
267491488, 46.5096245, 6.6351547
273490508, 46.509499, 6.6272264
276519487, 46.531398, 6.6071746
1944812747, 46.5111306, 6.6371494
764948882, 46.5239567, 6.6324933
582892656, 46.5417782, 6.6121311
1794183498, 46.5353685, 6.6060049
5152648086, 46.5154867, 6.5013339
582921381, 46.5270102, 6.6034072
266860911, 46.5321308, 6.6369934
265746827, 46.5220469, 6.5658385
1444557185, 46.5379769, 6.5841266
266197796, 46.506271, 6.6816929
575155016, 46.532732, 6.6254382
1629639972, 46.5468231, 6.6300776
5340503934, 46.5292616, 6.6140158
3197034522, 46.4878494, 6.770585
21696308, 46.514806, 6.4987444
309457738, 46.551313, 6.6949367
269580101, 46.5132995, 6.6489897
1035761263, 46.5136305, 6.6735124
611696898, 46.5121807, 6.6348708
307536766, 46.5195897, 6.6370468
571620653, 46.5372843, 6.6661521
574705490, 46.5455365, 6.6456957
3692484498, 46.552514, 6.5741309
1474513521, 46.5518334, 6.569006
409220645, 46.5155269, 6.6672395
565109271, 46.5282985, 6.6270327
5318659408, 46.5183121, 6.6368685
282645408, 46.517744, 6.6145041
1240313614, 46.5233041, 6.6842243
567170388, 46.5234011, 6.6207944
266381308, 46.5104133, 6.6393101
4415975203, 46.5367899, 6.5512568
595358087, 46.5388689, 6.6337733
411905591, 46.5526709, 6.5686455
1475318910, 46.5150182, 6.5413908
2323725953, 46.5402834, 6.6027823
1423972093, 46.5331622, 6.5834421
573250855, 46.5327744, 6.6354436
564130626, 46.5196328, 6.6319984
573250830, 46.5283687, 6.6341229
380759995, 46.5432258, 6.6744251
3034659730, 46.508772, 6.6533198
893235364, 46.5192095, 6.6670223
268958716, 46.5812148, 6.6368034
598571497, 46.5265317, 6.6284821
567833969, 46.5125957, 6.6226225
566751126, 46.5248441, 6.62566
1025496625, 46.5160471, 6.6575041
286706989, 46.5315095, 6.6305983
335901986, 46.5474876, 6.5817848
564488531, 46.5423476, 6.6489353
599729032, 46.5323635, 6.6329895
31296480, 46.5610802, 6.5888623
599218200, 46.5317453, 6.6243011
654105036, 46.5319818, 6.650244
330162260, 46.5492167, 6.5799699
347549344, 46.5252622, 6.6498785
